cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
bad,2,47.04,2,1,1,2,3,8000,119623,3,23.39,140000,5000,3,1
bad,2,45.03,2,2,5,2,3,50000,1694795,163478,43.02,500000,153000,16,1
good,2,39.03,2,2,5,1,3,200000,727297,156554,39.98,500000,354521,0,1
good,1,48.04,2,2,2,1,3,5000,306018,112066,41.65,100000,137900,1,1
good,2,35.03,1,1,5,2,3,35000,0,0,47.1,266000,0,1,1
good,2,38.03,2,3,2,2,3,30000,104465,341090,66.88,300000,450501,3,2
good,1,41.03,1,3,1,2,5,50000,1830551,221754,41.55,420000,509000,0,1
good,1,33.02,2,2,5,2,2,30000,1454747,10483,29.05,360000,187000,0,1
good,2,43.03,2,2,5,1,2,20000,345458,51523,23.19,200000,188000,0,1
good,2,39.03,2,2,1,2,3,25000,0,0,74.97,95000,0,4,1
good,1,47.04,2,2,1,2,3,15000,206013,15388,22.38,130000,69000,1,1
good,1,29.02,2,2,4,1,3,15000,59945,49742,40.74,180000,101501,1,1
good,2,43.03,2,3,5,2,3,100000,2326367,119554,71.54,200000,187000,0,1
good,2,38.03,2,2,5,2,5,50000,604465,13152,66.72,300000,281063,6,2
good,2,54.04,2,2,5,2,3,100000,634016,331003,28.99,500000,455000,10,1
good,1,27.02,2,2,5,2,3,50000,4453538,435521,12.93,500000,967553,0,1
good,1,29.02,2,2,3,1,5,15000,33303,10767,63.44,100000,30000,1,1
good,2,56.04,2,2,1,2,3,35000,290076,71756,58.76,160000,100500,3,1
good,2,27.02,2,2,2,2,3,10000,1357994,212244,40.3,300000,309100,7,1
good,2,41.03,2,2,1,2,2,50000,87656,96780,27.94,130000,126771,1,2
good,1,38.03,2,3,5,2,3,50000,59880,53067,53.09,160000,53000,13,2
good,1,47.04,2,2,5,2,3,30000,1002523,284077,52.12,180000,759813,0,1
bad,2,29.03,2,2,5,2,5,50000,2480087,60031,59.03,340000,110001,12,1
bad,1,37.04,1,2,1,2,3,20000,95870,210008,56.18,200000,267500,15,2
good,1,38.04,1,2,3,1,3,10000,228040,63125,18.91,450000,153555,0,1
bad,2,35.04,2,1,2,2,5,60000,1910148,589788,59.34,250000,702750,1,1
good,2,38.05,2,2,5,2,2,60000,436116,64853,60.54,100000,65000,1,1
good,2,44.05,2,2,1,2,2,30000,339287,25044,31.39,400000,100000,0,2
good,2,37.04,2,2,3,1,3,11000,144860,2125,13.66,100000,20000,8,1
good,2,37.04,2,2,1,2,5,55000,2486358,403646,74.76,248000,1644350,3,1
bad,1,32.04,2,2,1,2,2,30000,1163937,116761,53.26,250000,152268,3,1
bad,2,43.05,2,3,1,2,3,60000,365723,242572,14.1,270000,417111,2,1
good,2,48.05,2,2,1,2,3,60000,2315896,131501,9.86,500000,213000,0,1
good,2,46.05,1,2,5,1,3,8000,586917,58185,35.66,150000,64001,0,1
good,2,28.04,2,2,2,2,5,50000,888688,392230,70.74,300000,503196,2,1
good,2,45.05,2,2,5,1,5,30000,859431,67955,37.5,300000,107900,19,1
good,2,33.04,2,2,1,2,3,20000,87959,32514,38.34,100000,48790,6,2
good,2,32.04,2,3,5,2,5,12000,697556,87850,47.5,100000,196001,1,1
good,2,28.04,2,1,5,1,3,6000,48313,120432,63.66,130000,145534,0,2
good,2,43.05,2,2,1,2,3,75000,369793,144615,25.85,500000,246000,0,1
good,2,54.06,2,2,1,2,2,50000,523974,21511,21.26,150000,22000,19,1
good,1,31.05,2,3,5,1,2,12000,331589,72037,24.81,85000,286126,3,1
bad,1,30.05,2,2,5,2,2,30000,469975,0,13.89,500000,0,1,2
bad,1,39.06,2,2,1,2,3,50000,1671313,251309,38.06,360000,248000,1,1
good,2,47.06,2,2,1,2,2,50000,443636,244330,29.98,400000,671830,4,2
good,1,43.06,1,1,5,2,5,20000,1218985,274676,45.91,300000,403010,5,1
good,1,43.06,2,1,5,2,2,10000,382674,132258,33.19,80000,235000,3,1
good,1,29.05,2,3,1,2,3,50000,667872,39896,19.74,200000,89000,14,1
good,2,43.06,2,2,5,2,1,50000,269697,206262,74.47,400000,238333,6,2
good,1,38.06,1,2,5,2,5,7800,172357,354548,64.1,420000,500003,5,2
good,1,31.05,2,3,5,1,5,6000,617942,51608,15.86,150000,53000,0,1
good,2,38.06,1,2,5,2,3,20000,267274,181188,32.03,100000,189000,0,1
good,1,30.05,2,2,2,2,5,15000,632960,158118,45.65,160000,307898,5,1
bad,2,52.07,2,2,5,1,2,12000,55398,21908,10.05,120000,23000,16,1
bad,2,44.06,2,2,1,2,5,50000,41037,145986,48.58,100000,219000,13,2
good,1,37.06,2,2,3,1,5,5000,375014,45521,30.28,100000,55000,0,1
good,1,37.06,2,3,5,1,2,74911,933641,193567,21.42,210000,279000,1,1
bad,2,32.06,2,2,4,2,4,50000,571330,186742,15.28,500000,136000,6,1
bad,2,37.06,2,2,1,2,3,30000,98105,88057,74.89,154000,31000,3,2
bad,2,46.07,2,2,3,1,4,35000,1911131,2810,16.58,500000,14000,17,1
good,2,31.06,1,2,5,2,2,7000,205167,96157,57.15,100000,90000,15,1
good,2,51.07,2,2,1,2,2,150000,2275530,51464,18.48,500000,56000,0,2
good,1,47.07,2,2,4,2,2,35000,741037,57144,56.89,100000,84000,0,2
bad,2,50.08,2,2,5,2,2,30000,192876,0,67.02,470000,385120,21,2
good,2,43.08,2,2,1,2,3,100000,164150,253737,48.2,400000,332001,1,2
good,1,44.08,2,2,5,2,2,12000,0,0,14.45,200000,0,1,2
good,1,41.07,2,2,1,2,5,1000,55290,0,44.56,100000,10000,0,1
good,1,51.08,1,2,5,2,3,30000,968547,250405,40.89,300000,436400,12,1
good,1,42.08,2,2,5,2,3,7000,53142,0,37.68,140000,5000,3,2
good,2,45.08,2,2,5,2,3,80000,688699,247711,74.1,500000,267001,5,2
good,2,37.08,2,3,5,2,3,50000,971749,391734,50.6,500000,479500,5,1
bad,2,44.13,2,2,1,2,3,100000,560058,50960,69.27,460000,100000,4,2
bad,2,50.14,2,3,5,2,5,12000,180778,0,23.46,230000,30000,8,1
bad,2,32.12,2,2,1,2,3,50000,610181,592,46.18,160000,223060,16,1
bad,1,32.12,2,2,5,2,2,50000,1270559,288005,56.51,300000,674000,4,1
good,2,51.14,2,1,1,2,3,50000,0,0,40.36,400000,0,3,1
good,2,50.14,2,2,1,2,3,30000,85308,84308,54.33,80000,76000,10,2
good,2,41.13,2,2,6,2,3,100000,0,0,58.78,500000,0,0,2
good,1,42.13,2,2,1,2,3,50000,301783,257740,27.45,500000,327300,3,1
good,2,47.13,2,2,5,2,2,60000,839793,49224,67.02,500000,560000,12,2
